[menu_items_raw.csv](https://github.com/user-attachments/files/25575236/menu_items_raw.csv)
menu_item,meal_type,category,calories_per_serving,avg_portion_grams,is_staple,popularity_score,cook_time_min,shelf_life_hrs
Poha,Breakfast,Vegetarian,110,200,0,4.2,20,6
Upma,Breakfast,Vegetarian,105,200,0,3.8,20,6
Idli,Breakfast,Vegetarian,60,150,0,4.5,30,8
Dosa,Breakfast,Vegetarian,85,120,0,4.7,25,4
Pongal,Breakfast,Vegetarian,120,220,0,4.1,35,6
Rice,Lunch,Vegetarian,120,300,1,4.8,30,8
Dal,Lunch,Vegetarian,116,150,1,4.3,40,8
Sabji,Lunch,Vegetarian,80,150,0,3.9,30,6
Sambar,Lunch,Vegetarian,40,200,0,4.4,35,8
Rasam,Lunch,Vegetarian,30,150,0,3.7,20,6
Curd,Lunch,Vegetarian,60,100,0,4.5,5,12
Papad,Lunch,Vegetarian,10,20,0,3.5,5,24
Roti,Lunch,Vegetarian,70,100,1,4.0,25,4
Rice,Dinner,Vegetarian,120,300,1,4.8,30,8
Dal,Dinner,Vegetarian,116,150,1,4.3,40,8
Sabji,Dinner,Vegetarian,80,150,0,3.9,30,6
Roti,Dinner,Vegetarian,70,100,1,4.0,25,4
Khichdi,Dinner,Vegetarian,130,250,0,4.1,30,6
Pickle,Dinner,Vegetarian,5,20,0,3.2,5,720
Poha,Snacks,Vegetarian,110,150,0,4.0,20,4
Upma,Snacks,Vegetarian,105,150,0,3.7,20,4
Biscuits,Snacks,Vegetarian,90,50,0,3.5,0,168
